,title,year,rating,total_comments,acted_by
33,秘密,-2000,5.3,132人评价,金承佑 Seung-woo Kim / Mi-jo Yun / Hyeon-woo Jeong / Eun-suk Park / 孙艺...
7,坏蛋必须死,-2015,6,35278人评价,陈柏霖 Bo-lin Chen / 孙艺珍 Ye-jin Son / 乔振宇 Zhenyu Qiao / 申贤俊 Hye...
16,妻子结婚了,-2008,6.3,7233人评价,金柱赫 Ju-hyuk Kim / 孙艺珍 Ye-jin Son / 朱相昱 Sang-wook Joo
18,无防备都市,-2008,6.4,4485人评价,金明敏 / 孙艺珍 / 金海淑 / 沈智浩 / 金秉玉 Byeong-ok Kim / 李恩美
26,我的野蛮初恋,-2003,6.4,4975人评价,车太贤 Tae-hyun Cha / 孙艺珍 Ye-jin Son / 柳东根 Dong-geun Yun / 成志娄 ...
21,搭讪的法则,-2005,6.4,17438人评价,孙艺珍 Ye-jin Son / 宋一国 Il-guk Song / 玄英 Yeong Hyeon / 朴俊奎 Joon-...
22,外出,-2005,6.5,22047人评价,裴勇俊 Yong-jun Bae / 孙艺珍 Ye-jin Son / 柳承修 Seung-su Ryu / 刘胜穆 /...
8,海盗,-2014,6.6,9870人评价,金南佶 Nam-gil Kim / 孙艺珍 Ye-jin Son / 崔雪莉 Seol-ri Choi / 刘海镇 Hy...
9,共犯,-2013,6.6,8530人评价,孙艺珍 Ye-jin Son / 金甲洙 Kap-su Kim / 林炯俊 Hyeong-jun Lim / 李奎翰 L...
6,没有秘密,-2016,6.7,5921人评价,孙艺珍 Ye-jin Son / 金柱赫 Ju-hyuk Kim
12,我的见鬼女友,-2011,6.8,24066人评价,孙艺珍 Ye-jin Son / 李民基 Min-gi Lee / 朴哲民 Cheol-min Park / 金贤淑 H...
15,白夜行,-2009,6.9,49243人评价,孙艺珍 Ye-jin Son / 韩石圭 Suk-kyu Han / 高修 Soo Go / 李珉廷 Min-jung L...
31,恩怨两姐妹,-2001,7,96人评价,孙艺珍 Ye-jin Son / 金奎里
14,个人取向,-2010,7,18419人评价,李敏镐 Min-ho Lee / 孙艺珍 Ye-jin Son / 任瑟雍 Seulong Lim / 奉太奎 Tae-...
2,协商,-2018,7,22163人评价,孙艺珍 Ye-jin Son / 玄彬 Hyun Bin / 金相浩 Sang-ho Kim / 张荣男 Young-na...
10,鲨鱼,-2013,7.2,3963人评价,孙艺珍 Ye-jin Son / 金南佶 Nam-gil Kim / 夏石镇 So-jin Ha / 李荷妮 Ha-nu...
25,夏日香气,-2003,7.2,10811人评价,宋承宪 Seung-heon Song / 孙艺珍 Ye-jin Son / 柳镇 Jin Ryu / 韩智慧 Ji-hy...
28,大望,-2002,7.2,108人评价,张赫 / 李瑶媛 / 韩在硕 Jae-seok Han / 孙艺珍 / 张根硕 Keun-Suk Jang
19,千年狐,-2007,7.3,6390人评价,孙艺珍 Ye-jin Son / 孔炯真 / 柳德焕 Deok-Hwan Ryu
32,美味美爱,-2001,7.5,168人评价,孙艺珍 / 苏志燮 Ji-seob So
30,醉画仙,-2002,7.5,5949人评价,崔岷植 Min-sik Choi / 安圣基 Sung-kee Ahn / 孙艺珍 Ye-jin Son / 柳好贞 H...
5,德惠翁主,-2016,7.5,10790人评价,孙艺珍 Ye-jin Son / 朴海日 Hae-il Park / 罗美兰 Mi-ran Ra / 郑尚勋 Jung ...
11,摩天楼,-2012,7.5,37787人评价,金相庆 Sang-kyung Kim / 薛景求 Kyung-gu Sol / 孙艺珍 Ye-jin Son / 度智涵...
29,向左爱·向右爱,-2002,7.6,20459人评价,车太贤 Tae-hyun Cha / 孙艺珍 Ye-jin Son / 李恩珠 Eun-ju Lee / 朴勇宇 Yon...
17,聚光灯,-2008,7.6,1087人评价,池珍熙 Jin-hee Ji / 孙艺珍 Ye-jin Son / 赵允熙 Yun-hie Jo / 晋久 Goo Jin...
3,经常请吃饭的漂亮姐姐,-2018,7.6,66697人评价,孙艺珍 Ye-jin Son / 丁海寅 Hae-In Jung / 李珠英 Joo-young Lee / 吴龙 Ryo...
23,我脑中的橡皮擦,-2004,7.9,206591人评价,郑雨盛 Woo-sung Jung / 孙艺珍 Ye-jin Son / 白钟学 Jong-hak Baek / 金富善...
1,爱的迫降,-2019,8.2,125561人评价,玄彬 Hyun Bin / 孙艺珍 Ye-jin Son / 徐智慧 Ji-hye Seo / 金正贤 Jung-hyun...
27,假如爱有天意,-2003,8.3,321408人评价,孙艺珍 Ye-jin Son / 曹承佑 Seung-woo Cho / 赵寅成 In-seong Jo / 李己雨 K...
4,现在去见你,-2018,8.3,72808人评价,苏志燮 Ji-seob So / 孙艺珍 Ye-jin Son / 金智焕 Ji-hwan Kim / 金贤秀 Hyun...
20,恋爱时代,-2006,8.4,2476人评价,孙艺珍 / 甘宇成 / 李真旭 / 李荷娜 / 文晶熙 Jung-Hee Moon
13,秘密花园,-2010,8.4,91445人评价,玄彬 Bin Hyeon / 河智苑 Ji-won Ha / 尹尚贤 Sang-hyun Yun / 金莎朗 Sa-ran...
0,波士顿1947,-2020,,,河正宇 Jung-woo Ha / 任时完 Si-wan Yim / 孙艺珍 Ye-jin Son / 裴晟祐 Sung...
24,元晓大师,-2004,,,全茂松 Mu-song Jeon / 柳芝仁
