,title,year,rating,total_comments,acted_by,story
33,秘密,-2000,5.3,132人评价,金承佑 Seung-woo Kim / Mi-jo Yun / Hyeon-woo Jeong / Eun-suk Park / 孙艺...,"　　保险经纪ku-ho(j金承佑 饰)在雨天架车时撞到了一名叫mi-jo的少女。少女醒来后失忆了，对自己的身世一无所知。
"
7,坏蛋必须死,-2015,6,35288人评价,陈柏霖 Bo-lin Chen / 孙艺珍 Ye-jin Son / 乔振宇 Zhenyu Qiao / 申贤俊 Hye...,　　假期来临之际，在釜山当中文老师的强子（陈柏霖 饰）和从中国家乡远道而来的好哥们三儿（乔振宇 饰）、大头（丁文博 饰）和弟弟帕帕（杨旭文 饰）相约，一起到济州岛散心。狂飙的小混混、性感的韩国女人（孙艺珍 饰）、执着的老警察（张光 饰）、神秘的尾随者（申贤俊 饰）、不着调的牧师（朴哲民 饰）接连出现在他们身边。期盼已久的旅程，因为这些人的存在而鸡飞狗跳、险象环生，好像每个人都做了坏事。此时一只神秘小黑猪出现让所有人杀红了眼，更将众人推向生死危急的关口……
16,妻子结婚了,-2008,6.3,7235人评价,金柱赫 Ju-hyuk Kim / 孙艺珍 Ye-jin Son / 朱相昱 Sang-wook Joo,"　　在别人眼里，仁雅（孙艺珍 饰）到目前为止的人生绝对都是完美的令人嫉妒。想法奇妙，又是狂热球迷的她却有一个大家公认的好好丈夫德勋（金柱赫 饰）来包容和宠溺。对于德勋而言，妻子是世界上最好的女人，拥有众多追求者的仁雅最后却选择了他，让他甘愿包揽所有的家务事，尊听妻子的话，给予她最大限度的自由。可这些无边无尽的包容却似乎还是抵不过妻子的好奇心。终于有一天，妻子颇为严肃的对德勋说，我想要再婚！听到这句话的德勋经历了从“愣住了”到反思自己的过程，最后不得不帮助妻子实现她的重婚计划……
"
18,无防备都市,-2008,6.4,4485人评价,金明敏 / 孙艺珍 / 金海淑 / 沈智浩 / 金秉玉 Byeong-ok Kim / 李恩美,"　　广域搜查队的破案率极高，里面集中了全韩国最出色的警察，当中一名佼佼者便是赵大英（金明敏 饰）。他性格火爆，喜欢独来独往。正调查的杀人案件突然被上级命令停止调查，跟进另一宗商业盗窃案件。但曾因为盗窃案件有过痛苦经历的大英，对上司的安排感到郁闷。
"
26,我的野蛮初恋,-2003,6.4,4978人评价,车太贤 Tae-hyun Cha / 孙艺珍 Ye-jin Son / 柳东根 Dong-geun Yun / 成志娄 ...,"　　日美（孙艺珍 Ye-jin Son 饰）的母亲在临盆当天死于难产，日美的父亲朱荣大（于东健 YuDong-Geun 饰）独立一人抚养女儿长大，把她视作掌上明珠。和日美青梅竹马的孙太一（车太贤 Tae-hyun Cha 饰）是釜山高中出名的差生，虽然行为大胆，性格叛逆，多次违反校规校纪，却把日美视为今生的唯一。在他向日美表白后，他的班主任，日美的爸爸朱大荣提出了以成绩超过日美为条件的公开招亲来激励太一。而太一决定，为了日美而洗心革面，发奋读书考上了法律学院。原以为到此就可以与日美结婚的太一，又被朱父的软硬兼施逼迫许下承诺，保护日美的处子之身直到他通过初级司法考试。为了考试而专注学习的太一一再的压抑自己对日美的欲望，甚至努力去忽视日美千方百计的示好。然而当埋头苦读的太一终于通过了考试之时，却听说了心爱的日美要与他人结婚的讯息，于是太一开始了挽救初恋的疯狂...
"
21,搭讪的法则,-2005,6.4,17441人评价,孙艺珍 Ye-jin Son / 宋一国 Il-guk Song / 玄英 Yeong Hyeon / 朴俊奎 Joon-...,"　　英俊不凡的民俊（宋一国 饰）是情场上的高手，性感的智媛（孙艺珍 饰）也相貌出众，能把异性深深吸引住。这两名恋爱高手被命运安排走到了一起。
"
22,外出,-2005,6.5,22049人评价,裴勇俊 Yong-jun Bae / 孙艺珍 Ye-jin Son / 柳承修 Seung-su Ryu / 刘胜穆 /...,"　　音乐会正在进行，灯光指导仁书（裴勇俊饰）把工作交给了助手后仓促离开。他是得知妻子秀真（林尚孝饰）出了车祸，赶到江原道三陟市手术室外的走廊上，在那里他遇到了舒英（孙艺珍饰）。原来舒英的丈夫京浩（柳承洙饰）也在同一部车上，这是婚外情。这对仁书和舒英来说比致命车祸更难接受，他们谴责爱人的出轨，但也祈祷秀真和京浩可以平安康复。
"
8,海盗,-2014,6.6,9879人评价,金南佶 Nam-gil Kim / 孙艺珍 Ye-jin Son / 崔雪莉 Seol-ri Choi / 刘海镇 Hy...,"　　《海盗》以朝鲜建国初期为背景，讲述了为了捕获一只吞掉玉玺的鲸鱼而分开陆地的一伙男山贼和一群女海盗在茫茫大海上的新奇遭遇。该片是韩国首部海洋冒险题材影片。
"
9,共犯,-2013,6.6,8532人评价,孙艺珍 Ye-jin Son / 金甲洙 Kap-su Kim / 林炯俊 Hyeong-jun Lim / 李奎翰 L...,"　　美丽女孩郑多恩（孙艺珍 饰）自幼和父亲顺满（金甲洙 饰）相依为命，无论周遭如何变化，父亲依然是她最亲近的人。在多恩求职期间，15年前一起轰动全国的绑架案重新被人提起。当年名叫韩采进的儿童遭人绑架并杀害，而绑架者却始终下落不明。眼看追诉期将过，一部根据该事件改编的影片全国公映，影片结尾更公开了嫌疑犯当年的电话录音。和朋友结伴观影的多恩惊恐地发现，那被称作“恶魔的低语”的声音经和父亲的声音如此相像。她尝试调查父亲的过去，却始终没有收获。
"
6,没有秘密,-2016,6.7,5924人评价,孙艺珍 Ye-jin Son / 金柱赫 Ju-hyuk Kim,"　　钟灿（金柱赫 饰）和妻子妍红（孙艺珍 饰）结婚多年，膝下有一可爱的女儿，两人男才女貌，在外人眼中是如同神仙眷侣一般的存在。钟灿涉足政坛，事业小有成就，同僚们都知道，他将有极大的可能成为下一任的国会议员。
"
12,我的见鬼女友,-2011,6.8,24071人评价,孙艺珍 Ye-jin Son / 李民基 Min-gi Lee / 朴哲民 Cheol-min Park / 金贤淑 H...,"　　偶然的机会，街头魔术师马兆邱（李民基 饰）结识了面带忧郁和惆怅女子姜予丽（孙艺珍 饰）。予丽的神情给了他无限启发，他邀请予丽与之合作，共同编排的鬼魂表演引起巨大的轰动，整个团队都热情高涨。但是予丽从不参加团队的庆功宴，好不容易参加还大量酗酒，胡言乱语，闹得场面分外尴尬。
"
15,白夜行,-2009,6.9,49253人评价,孙艺珍 Ye-jin Son / 韩石圭 Suk-kyu Han / 高修 Soo Go / 李珉廷 Min-jung L...,"　　太阳到达最高点的时候，它的影子便消失了。刑警韩东秀（韩石圭 饰）为了证实自己对一起已有定论的杀人案的猜想，致使自己的儿子意外身亡，从此变得意志消沉起来。14年后，一桩杀人案似乎和当年这起案件有着某种联系，当韩东秀再一次开始关注起当年一名被害人的儿子有汉（高修 饰）时，意外认识正在帮助财团老板调查未婚妻柳美皓（孙艺珍 饰）的私家侦探，从私家侦探那里得知这名叫柳皓美的女人正是当年被认为是畏罪自杀的凶手的女儿李佳。当年这两个韩东秀曾经有怀疑过的小孩子如今长大成人，而且又同样因为凶杀案出现在他的周围。在韩东秀的追查过程中，他发现了当年凶杀案以及近期凶杀案的真相，而真相背后，却是一对永远不能在光天化日之下见面的苦恋情侣。
"
31,恩怨两姐妹,-2001,7,96人评价,孙艺珍 Ye-jin Son / 金奎里,"　　在同一家医院同时出生的两个女孩善姬和真姬，因真姬母亲的去世，她们成了一家人。感性纯真的善姬家庭富裕，学习等方面都很优秀，遭到了理性冷静的真姬的嫉忌。长大成人后，她们又同时爱上了一个男人，展开了爱情争夺战。随着真姬的父亲害死善姬父亲的阴谋慢慢揭开，两人又卷入了父辈恩怨的漩涡中……
"
14,个人取向,-2010,7,18421人评价,李敏镐 Min-ho Lee / 孙艺珍 Ye-jin Son / 任瑟雍 Seulong Lim / 奉太奎 Tae-...,"　　天性单纯善良的家具设计师朴开仁（孙艺珍 饰）是个不可救药糊涂女人。自己的男朋友韩昌烈（金基石 饰）就要跟自己的好朋友金仁熙（王智慧 饰）举行婚礼了，她竟还全然不知，并且误以为男友要向自己求婚，后知后觉的开仁因遭到友情和爱情的双重背叛而痛苦不堪。各种误会下她结识了建筑师全镇镐（李敏镐 饰）。俩人不仅互相看彼此不爽，而且镇镐竟然还被开仁误当成了同性恋。镇镐因为之前的设计模型被开仁搞砸，导致他的公司面临倒闭危机，为了挽回颓势他孤注一掷竞标美术馆工程项目。为了做出最完美的设计，他化身租客住进了世界名古屋商古斋，然而商古斋的主人竟然就是朴开仁。镇镐为了挽救自己的事业，将计就计伪装成同性恋，开始了和开仁的同居生活。
"
2,协商,-2018,7,22189人评价,孙艺珍 Ye-jin Son / 玄彬 Hyun Bin / 金相浩 Sang-ho Kim / 张荣男 Young-na...,"　　该片讲述恐怖主义者（玄彬 饰）与女谈判专家（孙艺珍 饰）之间反复对决的恐怖犯罪题材故事，恐怖分子时时刻刻用各种难以预料的方法进行施压，双方将进行一场激烈的脑力斗争。
"
10,鲨鱼,-2013,7.2,3964人评价,孙艺珍 Ye-jin Son / 金南佶 Nam-gil Kim / 夏石镇 So-jin Ha / 李荷妮 Ha-nu...,"　　鲨鱼没有鱼鳔，要不停地游动，才能活下去。本剧讲述的就是一个如鲨鱼般可怕可怜又孤独的男人的复仇故事。
"
25,夏日香气,-2003,7.2,10818人评价,宋承宪 Seung-heon Song / 孙艺珍 Ye-jin Son / 柳镇 Jin Ryu / 韩智慧 Ji-hy...,"　　三年前，刘敏宇（宋承宪 饰）意外失去了自己挚爱的未婚妻，他抱着悲痛的心选择了出国留学；而那时的沈慧媛（孙艺珍 饰）是个患有先天性心脏病的安静女孩，看着别人健康的跳跃着，自己只能坐在角落。
"
28,大望,-2002,7.2,108人评价,张赫 / 李瑶媛 / 韩在硕 Jae-seok Han / 孙艺珍 / 张根硕 Keun-Suk Jang,"　　本剧描述了性格决然不同的两兄弟在江湖与宫廷纷争、人世恩怨中不同抉择以及他们的爱恨情仇。
"
19,千年狐,-2007,7.3,6392人评价,孙艺珍 Ye-jin Son / 孔炯真 / 柳德焕 Deok-Hwan Ryu,"　　优比（孙艺珍 配音）是一只千年狐，虽然有一百岁了，实际等同于十岁的人类小孩，正值青春花季，单纯天真的她和六个迫降地球的外星人生活在一起。按照规矩，如果千年狐想成为人类就必须得到人类的灵魂，这也导致千年狐们去杀害人类，反过来，人类为了自卫不断地捕杀千年狐，到优比这代，就剩 她一只了。在她眼里，人类是愚蠢的代名词，没有想成为人类的欲望。直至一天，她遇到了一个叫坤宜（孔炯真 配音）的男孩子，开始喜欢上了他，而男孩生活在人类的世界，优比为了接近她化妆成人类到他生活的地方，于是她怀着好奇心开始和人类交往，于是新生活向她展开了一个充满冒险的新世界……
"
32,美味美爱,-2001,7.5,168人评价,孙艺珍 / 苏志燮 Ji-seob So,"　　主人公孝东是个急脾气，一点就着，虽然有很多优点，但是不够沉着，不够冷静，感情不太细腻，却是本剧能够发展的重要的索引。比如他对于父亲，虽然发自内心地爱父亲，感谢父亲，是个不折不扣的大孝子，但是却经常顶撞父亲，并令父亲难受。他在马西奈眼中是个绝对的白马王子，但是他却对张希爱一见钟情，并对马西奈的爱情很漠视。
"
30,醉画仙,-2002,7.5,5951人评价,崔岷植 Min-sik Choi / 安圣基 Sung-kee Ahn / 孙艺珍 Ye-jin Son / 柳好贞 H...,"　　19世纪50年代，朝鲜面临内忧外患的，人民生活艰苦。被人殴打的乞丐少年张承业被书生金柄文（安圣基饰）所救，二人结下终生不解的友谊。在金柄文的朋友李凝轩（韩明求饰）的帮助下，他在大画院正式拜师学画。五年后，张承业（崔岷植饰）凭着自己过人的天分，开始学有所成，离开了老师闯荡天下。
"
5,德惠翁主,-2016,7.5,10797人评价,孙艺珍 Ye-jin Son / 朴海日 Hae-il Park / 罗美兰 Mi-ran Ra / 郑尚勋 Jung ...,"　　影片讲述朝鲜高宗的女儿德惠翁主作为末代公主的坎坷人生，导演许秦豪执导，孙艺珍饰演成年德惠翁主，朴海日饰演独立运动家，金所炫饰演少女时期的德惠翁主，金材昱饰演德惠翁主的日本丈夫宗武志。
"
11,摩天楼,-2012,7.5,37805人评价,金相庆 Sang-kyung Kim / 薛景求 Kyung-gu Sol / 孙艺珍 Ye-jin Son / 度智涵...,"　　2012年的圣诞前夜，韩国首尔市中心的120层摩天大楼Tower Sky内，中国餐厅女强人经理允熙（孙艺珍 饰）、性格内敛的大楼物业队长兼单身爸爸李泰浩（金相庆 饰）、张扬跋扈傲慢无礼的贵妇人、位居人上的会长、丢三落四的马虎小厨师……不同职业和身份的人按照各自的轨道行进，他们或彼此交错，或毫无干系，殊不知一场灾难即将降临他们的头上。夜幕降临，正当人们沉浸在人工降雪所营造的浪漫、幸福氛围时，意外突然发生。造雪专用的直升机受强气流影响失控撞上大厦，随即引发混乱和难以遏制的大火。
"
29,向左爱·向右爱,-2002,7.6,20461人评价,车太贤 Tae-hyun Cha / 孙艺珍 Ye-jin Son / 李恩珠 Eun-ju Lee / 朴勇宇 Yon...,"　　一封封的匿名信，勾起了志焕（车太贤 饰）对昔日两位好友的思念。
"
17,聚光灯,-2008,7.6,1088人评价,池珍熙 Jin-hee Ji / 孙艺珍 Ye-jin Son / 赵允熙 Yun-hie Jo / 晋久 Goo Jin...,"　　故事剧情显示出在電視广播任职的女性热烈工作身姿还有环绕着她的故事。'聚光灯'是在述说围绕在新闻报导的电视台记者们的热情和采访过程等中的纠葛,将他们的生活写实的呈现出,将电视新闻台里的多样面貌紧张的描绘出的专门性电视剧
"
3,经常请吃饭的漂亮姐姐,-2018,7.6,66726人评价,孙艺珍 Ye-jin Son / 丁海寅 Hae-In Jung / 李珠英 Joo-young Lee / 吴龙 Ryo...,"　　本剧由《妻子的资格》、《密会》、《听到传闻》的导演安畔锡执导, 金恩作家执笔，讲述了由原本“只是认识的姐弟关系”的男女陷入爱情后发生的“真正的恋爱”的故事。
"
23,我脑中的橡皮擦,-2004,7.9,206642人评价,郑雨盛 Woo-sung Jung / 孙艺珍 Ye-jin Son / 白钟学 Jong-hak Baek / 金富善...,"　　秀真（孙艺珍饰）是一个富家女，跟男友出走却被抛弃，在便利店内与在建筑公司当工人的哲洙（郑宇成饰）相遇。未来的日子里，他们一次又一次相遇，最终彼此相爱了。
"
1,爱的迫降,-2019,8.2,125936人评价,玄彬 Hyun Bin / 孙艺珍 Ye-jin Son / 徐智慧 Ji-hye Seo / 金正贤 Jung-hyun...,"　　该剧讲述了韩国财阀继承女尹世利（孙艺珍 饰）因滑翔伞事故被迫降到朝鲜，爱上默默守护她的朝鲜特级军官（玄彬 饰）的故事。
"
27,假如爱有天意,-2003,8.3,321488人评价,孙艺珍 Ye-jin Son / 曹承佑 Seung-woo Cho / 赵寅成 In-seong Jo / 李己雨 K...,"　　2003年的大学生梓希（孙艺珍饰）一天收拾房间，无意中发现一个神秘的箱子，里面满载着母亲珠喜（孙艺珍饰）留下的情书，在阅读中她重温着母亲的初恋回忆。1968年的珠喜，是一个清纯可爱的少女，与穷学生俊河（曹承佑饰）一见钟情，由于珠喜显赫的家世，令两人的恋爱陷入俗套的门不当户不对的痛苦纠结中。2003年的梓希爱情同样坎坷，她暗恋着戏剧学会的尚民（赵寅成饰），却一直难以表白自己的爱意。
"
4,现在去见你,-2018,8.3,72856人评价,苏志燮 Ji-seob So / 孙艺珍 Ye-jin Son / 金智焕 Ji-hwan Kim / 金贤秀 Hyun...,"　　本片根据市川拓司小说《相约在雨季》改编，苏志燮和孙艺珍主演，讲述男子(苏志燮饰)的妻子秀雅(孙艺珍饰)去世前告诉他，自己将在下一个雨季回来。果不其然，雨季来临之际，妻子如约而至。可奇怪的是，妻子似乎忘记了他和家庭。
"
20,恋爱时代,-2006,8.4,2478人评价,孙艺珍 / 甘宇成 / 李真旭 / 李荷娜 / 文晶熙 Jung-Hee Moon,"　　《恋爱时代》是16集浪漫爱情剧，讲述20多岁的夫妻离婚后但无法忘却对方的故事。
"
13,秘密花园,-2010,8.4,91473人评价,玄彬 Bin Hyeon / 河智苑 Ji-won Ha / 尹尚贤 Sang-hyun Yun / 金莎朗 Sa-ran...,"　　百货公司社长金洙元（玄彬 饰）帅气多金高学历，信奉“不浪费时间和感情”的政治婚姻。他的表哥是大受女性欢迎的韩流明星奥斯卡（尹相铉 饰），为了帮奥斯卡摆平绯闻，金洙元来到电影拍摄现场，却误打误撞地带走了特技替身演员吉罗琳（河智苑 饰）。很快，留着一头帅气短发、行动干脆利落的吉罗琳俘虏了金洙元的心，然而二人之间经济水平以及阶级地位的巨大差异，让金社长内心十分矛盾痛苦。
"
0,波士顿1947,-2020,,,河正宇 Jung-woo Ha / 任时完 Si-wan Yim / 孙艺珍 Ye-jin Son / 裴晟祐 Sung...,"　　河正宇将主演姜帝圭执导的影片[波士顿1947]。影片故事讲述了在1947年，韩国选手们参加二战后首次举行的国际马拉松大赛。河正宇将在片中饰演主教练角色。
"
